PMID,FACTOR,RISK,TEXT
33388763,Age,Yes,"from multivariate regression analysis, previous vte (odds ratio [or], 52.8; 95% confidence interval [ci], 35.2-78.6; p < 0.0001), peripherally inserted central catheter (picc)/central line placement (or, 19.6; 95% ci, 9.8-153; p < 0.05), rib graft (or, 4.6; 95% ci, 2.3-8.5; p < 0.0001), age 41 to 60 years (or, 2.65; 95% ci, 1.7-4.3; p < 0.01), inflammatory bowel disease (ibd) (or, 2.6; 95% ci, 1.0-5.5; p < 0.05), and age 61 to 74 years (or, 2.4; 95% ci, 1.2-4.8; p < 0.05) were associated with an increased risk of vte.. ."
33388763,"Others (COPD, IBD)",Yes,". from multivariate regression analysis, previous vte (odds ratio [or], 52.8; 95% confidence interval [ci], 35.2-78.6; p < 0.0001), peripherally inserted central catheter (picc)/central line placement (or, 19.6; 95% ci, 9.8-153; p < 0.05), rib graft (or, 4.6; 95% ci, 2.3-8.5; p < 0.0001), age 41 to 60 years (or, 2.65; 95% ci, 1.7-4.3; p < 0.01), inflammatory bowel disease (ibd) (or, 2.6; 95% ci, 1.0-5.5; p < 0.05), and age 61 to 74 years (or, 2.4; 95% ci, 1.2-4.8; p < 0.05) were associated with an increased risk of vte. previous vte, picc/central line, advancing age, ibd, and intraoperative rib graft harvest were most strongly associated with vte in this population cohort.."
29659465,Diabete,No,". pruevt cases were more likely to be diabetic, but this did not reach statistical significance.."
29659465,Number of comorbidities/HTA/Hyperglycemia,Yes,. does hyperglycemia affect risk of peripherally inserted central catheter-related upper extremity venous thrombosis? ..
30795912,PICC indwelling time,No,"incidences of central line associated blood stream infection and venous thrombosis were 3.95 and 0.55 per 1000 catheter days, respectively.. ."
30795912,PICC infection,No,"incidences of central line associated blood stream infection and venous thrombosis were 3.95 and 0.55 per 1000 catheter days, respectively.."
36113076,PICC indwelling time,No,a very low incidence of both symptomatic catheter-related thrombosis (0.9%) and catheter-related blood stream infection (0.56 episodes per 1000 catheter days) was found.. .
36113076,PICC infection,No,a very low incidence of both symptomatic catheter-related thrombosis (0.9%) and catheter-related blood stream infection (0.56 episodes per 1000 catheter days) was found..
29293304,PICC infection,No,"while generally safe, cvads can be associated with complications such as catheter occlusion or rupture, venous thrombosis, and bloodstream infection. a number of strategies have been used to minimize the occurrence of cvad- and picc-associated complications such as antimicrobial-impregnated lines for prevention of infection, or addition of a valve (valved catheters) to prevent occlusion by preventing reflux of blood into the catheter.."
35285085,PICC infection,Yes,"methods: using a propensity score, the adjusted relative risk (arr) between the type of catheter and the occurrence of catheter-related complications (infection and/or vt) of interest was retrospectively determined. results: 479 patients were enrolled (266 ports/213 piccs), and 26 vts (5.4%) and 30 infections (6.3%) were identified in the period following picc/port implantation. the adjusted relative risk (arr) of catheter-related complications (infection and/or vt) according to the type of device was 2.6 (95% ci =1.3-5.9, p = .0075). this risk increase associated with the picc device was significant for both infections (arr = 3.2; 95% ci = 1.3-10.9) and thrombosis (arr = 4; 95% ci = 1.5-11.6).."
34148390,PICC infection,No,"in patients with cta-tunneled external catheters, there were two dislodgments, four episodes of central line associated blood stream infections, and one local infection.."
32205131,Chemotherapy,Yes,"patterns and risk factors of peripherally inserted central venous catheter-related symptomatic thrombosis events in patients with malignant tumors receiving chemotherapy. objective: peripherally inserted central venous catheter (picc)-related thrombosis (prt) is a serious complication that can lead to interruptions in chemotherapy and other supportive care, as well as increased hospital stay and costs. we conducted a retrospective study to evaluate the patterns of symptomatic prt in patients with cancer undergoing chemotherapy and their risk factors. predictors associated with increased risk of prt were age >60 years (odds ratio [or], 2.142; 95% confidence interval [ci], 1.118-4.103) and a chemotherapy regimen containing fluorouracil (or, 2.429; 95% ci, 1.013-5.825). conclusions: age >60 years and chemotherapy regimens containing fluorouracil were independent risk factors for prt and hypertension with medication was associated with a lower risk of prt in patients with cancer with piccs receiving chemotherapy.. ."
32205131,Cancer,No,we conducted a retrospective study to evaluate the patterns of symptomatic prt in patients with cancer undergoing chemotherapy and their risk factors. conclusions: age >60 years and chemotherapy regimens containing fluorouracil were independent risk factors for prt and hypertension with medication was associated with a lower risk of prt in patients with cancer with piccs receiving chemotherapy.. .
32205131,Age,Yes,"predictors associated with increased risk of prt were age >60 years (odds ratio [or], 2.142; 95% confidence interval [ci], 1.118-4.103) and a chemotherapy regimen containing fluorouracil (or, 2.429; 95% ci, 1.013-5.825). conclusions: age >60 years and chemotherapy regimens containing fluorouracil were independent risk factors for prt and hypertension with medication was associated with a lower risk of prt in patients with cancer with piccs receiving chemotherapy.. ."
32205131,Hypertension,No,"hypertension with medication was a protective factor for prt (or, 0.306; 95% ci, 0.113-0.828). conclusions: age >60 years and chemotherapy regimens containing fluorouracil were independent risk factors for prt and hypertension with medication was associated with a lower risk of prt in patients with cancer with piccs receiving chemotherapy.."
27792437,PICC indwelling time,No,"following the change in needle-free connector, 180 piccs were inserted by the vascular access team on one of the organisation's sites over a 12-month period, with a total dwell time of 9702 catheter days (mean: 53.9 days, median: 35 days), a pwo rate of 1/1000 catheter days and total occlusion rate of 0.4/1000 catheter days.. ."
25191821,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"not being on any form of anticoagulant or antiplatelet agent was associated with a modestly increased risk of pruevt (odds ratio 1.93, p = .036, 95% confidence interval, 1.025-3.602).. ."
25191821,Anticoagulants therapy,No,"not being on any form of anticoagulant or antiplatelet agent was associated with a modestly increased risk of pruevt (odds ratio 1.93, p = .036, 95% confidence interval, 1.025-3.602).. ."
30513003,PICC insertion procedure,No,". introduction: thrombotic complications associated with peripherally inserted central catheters (piccs) are common, as most synthetic materials when placed in the presence of serum often result in platelet activation, fibrin deposition, thrombotic occlusion, and potentially embolization.."
30513003,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"introduction: thrombotic complications associated with peripherally inserted central catheters (piccs) are common, as most synthetic materials when placed in the presence of serum often result in platelet activation, fibrin deposition, thrombotic occlusion, and potentially embolization.. ."
24090605,Chemotherapy,Yes,"conclusion: our retrospective study, although based on a small sample size, suggests that the occurrence of cvc-exit site infections and neutropenic sepsis following chemotherapy significantly increases the risk of crt in aml, independently from the use of lmwh prophylaxis.. ."
24090605,Cancer,No,. infections increase the risk of central venous catheter-related thrombosis in adult acute myeloid leukemia..
24090605,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,lmwh was delivered regardless of the platelet (plt) count once provided that it should have been maintained above 20 x 10(9)/l by transfusions.. .
24090605,PICC infection,Yes,"infections increase the risk of central venous catheter-related thrombosis in adult acute myeloid leukemia. results: of 106 insertions, we observed 19 (18%) episodes of crt, 58 (54%) of sepsis and 50 (47%) infections of cvc-exit site with no difference between lmwh and no-lmwh group. occurrence of crt was significantly associated with cvc-exit site infections (14/19, p=0.01) and sepsis (16/19, p=0.005) with no difference between lmwh and no-lmwh group. in multivariate analysis, both cvc-exit site infections and sepsis were confirmed to be independent risk factors for crt development. conclusion: our retrospective study, although based on a small sample size, suggests that the occurrence of cvc-exit site infections and neutropenic sepsis following chemotherapy significantly increases the risk of crt in aml, independently from the use of lmwh prophylaxis.."
32375605,PICC insertion procedure,No,". methods: we randomized 2250 patients who needed picc placement to either a landmark length estimation supplemented by ic-ecg positioned group (ecg group) or the traditional landmark length estimation alone group (control group) in a 2:1 allocation. results: as evaluated by post-procedural chest x-ray, tip location in the ecg group had a first-attempt success (catheter tip located at optimal position) of 91.7% (95% confidence interval (ci): 90.3%-93.1%), significantly higher than 78.9% (95% ci: 76.0%-81.9%) observed in the control group (p < 0.001).."
32375605,PICC infection,No,"at six-month follow-up, in the control group, frequency of total complications was 9.5%, including the exit site infection (4.0%), phlebitis (1.3%), deep venous thrombosis (1.5%), liquid extravasation (2.9%) and mechanical failure (1.9%). the ic-ecg group had significantly lower rates of complications (6.4%, p < 0.001), including the exit site infection (2.7%, p > 0.05), phlebitis (1.1%, p > 0.05), deep venous thrombosis (1.2%, p > 0.05), liquid extravasation (2.4%, p > 0.05) and mechanical failure (1.2%, p > 0.05).."
37205327,Cancer,No,"other risk factors included age, male sex, decreased platelet count, increased inr, increased ptt, decreased gfr, icu admission, cvc or picc placement, active cancer, coagulopathy, and in-hospital antiplatelet drug, steroid, or ssri use.. ."
37205327,Gender,No,"other risk factors included age, male sex, decreased platelet count, increased inr, increased ptt, decreased gfr, icu admission, cvc or picc placement, active cancer, coagulopathy, and in-hospital antiplatelet drug, steroid, or ssri use.. ."
37205327,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"other risk factors included age, male sex, decreased platelet count, increased inr, increased ptt, decreased gfr, icu admission, cvc or picc placement, active cancer, coagulopathy, and in-hospital antiplatelet drug, steroid, or ssri use.. ."
30909723,Two or more lumens,Yes,. to compare incidence of cr thrombosis between mcs and piccs and to evaluate the impact of quantity of lumens and catheter diameter on cr thrombosis..
30589718,PICC insertion procedure,No,". however, central vascular access devices are associated with a risk of complications, which may include infection, thrombosis, occlusion, or malposition.."
30589718,PICC infection,Yes,"however, central vascular access devices are associated with a risk of complications, which may include infection, thrombosis, occlusion, or malposition.."
23002096,Cancer,No,"background: although home parenteral nutrition (hpn) is often indicated in cancer patients, many physicians are concerned about the risks potentially associated with the use of central venous access devices (vads) in these patients. conclusions: in cancer patients, hpn can be safely carried out with a low incidence of complications.. ."
23002096,Total parenteral nutrition,No,"background: although home parenteral nutrition (hpn) is often indicated in cancer patients, many physicians are concerned about the risks potentially associated with the use of central venous access devices (vads) in these patients.."
23002096,PICC infection,No,"the incidence of catheter-related bloodstream infections (crbsis) was low (0.35/1000 catheter-days), particularly for piccs (0/1000; p < .01 vs hohn and tunneled catheters) and for ports (0.19/1000; p < .01 vs hohn and p < .05 vs tunneled catheters).."
25656251,PICC infection,No,"no catheter-associated bloodstream infection occurred; main complications were symptomatic upper limb deep vein thrombosis (2%), catheter obstruction (18%) and persistent pain after catheter insertion (18%).."
25198813,Power injectable PICC,No,"purpose: few randomized studies have investigated the impact of valved and non-valved power-injectable peripherally inserted central catheters (piccs) in terms of incidence of occlusion, infection, malfunction and venous thrombosis. one hundred and eighty adult patients candidate to chemotherapy were randomized into three groups: power-injectable piccs with solo-2 proximal valve (bard); power-injectable piccs with pasv (pressure activated safety valve) proximal valve (navilyst); and non-valved power-injectable piccs (medcomp).. ."
25198813,Chemotherapy,No,one hundred and eighty adult patients candidate to chemotherapy were randomized into three groups: power-injectable piccs with solo-2 proximal valve (bard); power-injectable piccs with pasv (pressure activated safety valve) proximal valve (navilyst); and non-valved power-injectable piccs (medcomp).. .
25198813,PICC infection,No,"purpose: few randomized studies have investigated the impact of valved and non-valved power-injectable peripherally inserted central catheters (piccs) in terms of incidence of occlusion, infection, malfunction and venous thrombosis. results: we detected no complications at insertion; no picc-related bloodstream infections; no dislocations; five cases of transient occlusion and two cases of persistent withdrawal occlusion, evenly distributed among the groups; one episode of complete irreversible obstruction (group a); four episodes of asymptomatic peripheral venous thrombosis; one episode of symptomatic, severe central vein thrombosis (group b).."
34980518,PICC infection,Yes,"burn patients need special considerations because of restricted insertion sites, burn wounds, hyper coagulation, high infection rates and others. upper extremity vein thrombosis (uevt) and central line-associated bloodstream infection (clabsi) were the main outcome.."
33298237,PICC indwelling time,No,"compared to pb, crbsi showed significantly different risk factors, a higher incidence density per catheter days, and a shorter median time to infection.. ."
33298237,Total parenteral nutrition,Yes,"parenteral nutrition (odds ratio [or], 3.40; 95% confidence interval [ci], 1.77-6.52) and admission to the hematology ward (or, 4.90; 95% ci, 2.25-10.71) were independently associated with crbsi and pb, respectively.."
33298237,PICC infection,No,"methods: catheter-associated bloodstream infection (cabsi) including catheter-related bloodstream infection (crbsi), primary bacteremia (pb), and upper extremity deep vein thrombosis (uedvt) were recorded. compared to pb, crbsi showed significantly different risk factors, a higher incidence density per catheter days, and a shorter median time to infection.."
33298237,Hospitalisation/ Medical department admission/ discharged to a skilled-nursing facility,No,". parenteral nutrition (odds ratio [or], 3.40; 95% confidence interval [ci], 1.77-6.52) and admission to the hematology ward (or, 4.90; 95% ci, 2.25-10.71) were independently associated with crbsi and pb, respectively. admission to the hematology ward (or, 12.46; 95% ci, 2.49-62.50) or to the oncology ward (or, 7.89; 95% ci, 1.77-35.16) was independently associated with uedvt.."
23710585,Chemotherapy,Yes,"the multivariable analyses showed that chemotherapy history, less activities and diabetes were the key risk factors for thrombosis. the history of chemotherapy, less activities and diabetes were found to be the key risk factors.. ."
23710585,Diabete,No,"the multivariable analyses showed that chemotherapy history, less activities and diabetes were the key risk factors for thrombosis. the history of chemotherapy, less activities and diabetes were found to be the key risk factors.. ."
23710585,Cancer,No,risk factors associated with picc-related upper extremity venous thrombosis in cancer patients. aims and objectives: to investigate the incidence and risk factors for peripherally inserted central venous catheters-related upper extremity venous thrombosis in patients with cancer.. .
31674857,Chemotherapy,No,"background and objectives: the increasing use of arm totally implantable vascular access devices for breast cancer patients who require chemotherapy has led to a greater risk of complications and failures and, in particular, to upper extremity deep vein thrombosis.. ."
31674857,Cancer,No,"background and objectives: the increasing use of arm totally implantable vascular access devices for breast cancer patients who require chemotherapy has led to a greater risk of complications and failures and, in particular, to upper extremity deep vein thrombosis.. ."
31674857,BMI,No,". with regard to the patients' characteristics, body mass index <22.5 was the only significant risk for failure (p = 0.027).."
34399039,Cancer,No,"the negative predictive value of peripherally inserted central catheter-associated vein thrombosis in the cancer group (80.0%, 95% ci: 73.2%-85.4%) was higher than that of the non-cancer group (60.0%, 95% ci: 35.7%-80.2%).. ."
25940453,Number of comorbidities/HTA/Hyperglycemia,No,". peripherally inserted central catheter presence, comorbidities, venous thrombosis risk factors, and thrombotic events within 90 days from hospital admission were ascertained by phone and record review.."
25940453,Hospitalisation/ Medical department admission/ discharged to a skilled-nursing facility,No,". from hospital admission to 90 days, 876 thromboembolic events (208 upper-extremity deep vein thromboses, 372 lower-extremity deep vein thromboses, and 296 pulmonary emboli) were identified.."
27126759,Diabete,No,"for patients with difficult intravenous access, those requiring multiple attempts, those who are obese, or have diabetes or other chronic conditions, determining the vascular access device (vad) with the lowest risk that best meets the needs of the treatment plan can be confusing.. ."
32205954,ICU,No,abbreviations list: abhr: alcohol-based hand rub; aicd: automated implantable cardioverter defibrillator; bsi: blood stream infection; c/ss: chg/silver sulfadiazine; cath lab: catheterization laboratory (cardiac cath lab); cdc: centers for disease control and prevention; cfu: colony forming unit; chg: chlorhexidine gluconate; cl: central line; combux: comparison of bedside ultrasound with chest x-ray (combux study); cqi: continuous quality improvement; crbsi: catheter-related blood stream infection; cus: chest ultrasonography; cvc: central venous catheter; cxr: chest x-ray; dttp: differential time to positivity; dvt: deep venous thrombosis; ecg: electrocardiography; elvis: ethanol lock and risk of hemodialysis catheter infection in critically ill patients; er: emergency room; fda: food and drug administration; fv: femoral vein; gwe: guidewire exchange; hd catheter: hemodialysis catheter; hts: hypertonic saline; icp: intracranial pressure; icu: intensive care unit; idsa: infectious disease society of america; ijv: internal jugular vein; ipc: indian penal code; irr: incidence rate ratio; isccm: indian society of critical care medicine; iv: intravenous; lcbi: laboratory confirmed blood stream infection; m/r: minocycline/rifampicin; mbi-lcbi: mucosal barrier injury laboratory-confirmed bloodstream infection; mrsa: methicillin-resistant staphylococcus aureus; nhs: national health service (uk); nhsn: national healthcare safety network (usa); ot: operation theater; picc: peripherally-inserted central catheter; piv: peripheral intravenous line; pl: peripheral line; pvi: povidone-iodine; ra: right atrium; rct: randomized controlled trial; rr: relative risk; scv/sv: subclavian vein; scvo(2): central venous oxygen saturation; sn: sensitivity; sop: standard operating procedure; svc: superior vena cava; tee: transesophageal echocardiography; upp: useful practice points; usg: ultrasonography; who: world health organization.. .
32205954,PICC infection,No,abbreviations list: abhr: alcohol-based hand rub; aicd: automated implantable cardioverter defibrillator; bsi: blood stream infection; c/ss: chg/silver sulfadiazine; cath lab: catheterization laboratory (cardiac cath lab); cdc: centers for disease control and prevention; cfu: colony forming unit; chg: chlorhexidine gluconate; cl: central line; combux: comparison of bedside ultrasound with chest x-ray (combux study); cqi: continuous quality improvement; crbsi: catheter-related blood stream infection; cus: chest ultrasonography; cvc: central venous catheter; cxr: chest x-ray; dttp: differential time to positivity; dvt: deep venous thrombosis; ecg: electrocardiography; elvis: ethanol lock and risk of hemodialysis catheter infection in critically ill patients; er: emergency room; fda: food and drug administration; fv: femoral vein; gwe: guidewire exchange; hd catheter: hemodialysis catheter; hts: hypertonic saline; icp: intracranial pressure; icu: intensive care unit; idsa: infectious disease society of america; ijv: internal jugular vein; ipc: indian penal code; irr: incidence rate ratio; isccm: indian society of critical care medicine; iv: intravenous; lcbi: laboratory confirmed blood stream infection; m/r: minocycline/rifampicin; mbi-lcbi: mucosal barrier injury laboratory-confirmed bloodstream infection; mrsa: methicillin-resistant staphylococcus aureus; nhs: national health service (uk); nhsn: national healthcare safety network (usa); ot: operation theater; picc: peripherally-inserted central catheter; piv: peripheral intravenous line; pl: peripheral line; pvi: povidone-iodine; ra: right atrium; rct: randomized controlled trial; rr: relative risk; scv/sv: subclavian vein; scvo(2): central venous oxygen saturation; sn: sensitivity; sop: standard operating procedure; svc: superior vena cava; tee: transesophageal echocardiography; upp: useful practice points; usg: ultrasonography; who: world health organization..
32551112,Two or more lumens,No,". results: of the factors evaluated, female gender, the use of triple lumen peripherally inserted central catheters, larger outer diameter, and open (vs valve) peripherally inserted central catheters were associated with venous thrombosis.."
32551112,ICU,Yes,risk factors for peripherally inserted central catheter line-related deep venous thrombosis in critically ill intensive care unit patients. the objective of this case-control study was to identify the risk factors associated with peripherally inserted central catheter line-related deep venous thrombosis in critically ill medical-surgical intensive care unit patients in a community hospital.. .
32551112,Gender,Yes,". results: of the factors evaluated, female gender, the use of triple lumen peripherally inserted central catheters, larger outer diameter, and open (vs valve) peripherally inserted central catheters were associated with venous thrombosis.."
